"pitch","yaw","f"
"3","-98.9726266148964","1.0"
"-21","-84.8055710922652","1.0"
"-21","-72.64597536373867","1.0"
"-5","121.60750224624891","1.0"
"-57","-78.69006752597979","1.0"
"8","169.9920201985587","1.0"
"-16","60.94539590092286","0.5000000000000001"
"-75","-104.0362434679265","0.40000000000000013"
"-44","170.5376777919744","0.40000000000000013"
"-2","-38.65980825409009","0.6000000000000001"
"-24","54.46232220802562","1.0"
"-19","55.00797980144134","1.0"
"12","-173.15722658736905","1.0"
"-17","166.75948008481282","0.5000000000000001"
"-6","122.47119229084849","1.0"
"-22","115.46334506187162","1.0"
"-29","-84.8055710922652","1.0"
"-6","-113.96248897457818","0.6000000000000001"
"-5","30.465544919459884","0.40000000000000013"
"-21","85.42607874009914","1.0"
"-3","22.619864948040426","0.9"
"-6","-140.19442890773482","1.0"
"-35","-135.0","0.20000000000000018"
"-80","35.53767779197438","0.7000000000000001"
"-54","30.96375653207352","1.0"
"-3","152.24145939893998","1.0"
"-20","156.50143432404792","0.7000000000000001"
"-15","-57.528807709151515","1.0"
"-46","-120.96375653207352","0.30000000000000016"
"-10","-90.0","1.0"
"-16","-144.1623470457217","1.0"
"-23","62.24145939893998","1.0"
"-25","-115.20112364547508","1.0"
"16","38.65980825409009","0.30000000000000016"
"-54","-120.96375653207352","1.0"
"-18","-71.56505117707799","1.0"
